Year,Laureate_Id,Firstname,Lastname,Category,Prize_Share,Motivation,Gender,Birth_Date,Birth_Country,Birth_City,Death_Date,Death_Country,Death_City,Birth_Country_Code,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1901,1,Wilhelm Conrad,Röntgen,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),10/02/1923,Germany,Munich,DE,DE,Munich University,Munich,Germany
1901,293,Emil,von Behring,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),31/03/1917,Germany,Marburg,PL,DE,Marburg University,Marburg,Germany
1901,462,Henry,Dunant,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",male,1828-05-08,Switzerland,Geneva,30/10/1910,Switzerland,Heiden,CH,CH,,,
1901,463,Frédéric,Passy,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",male,1822-05-20,France,Paris,12/06/1912,France,Paris,FR,FR,,,
1901,569,Sully,Prudhomme,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",male,1839-03-16,France,Paris,07/09/1907,France,Châtenay,FR,FR,,,
1901,160,Jacobus H.,van 't Hoff,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",male,1852-08-30,the Netherlands,Rotterdam,01/03/1911,Germany,Berlin,NL,DE,Berlin University,Berlin,Germany
1902,161,Emil,Fischer,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",male,1852-10-09,Prussia (now Germany),Euskirchen,15/07/1919,Germany,Berlin,DE,DE,Berlin University,Berlin,Germany
1902,571,Theodor,Mommsen,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",male,1817-11-30,Schleswig (now Germany),Garding,01/11/1903,Germany,Charlottenburg,DE,DE,,,
1902,465,Albert,Gobat,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",male,1843-05-21,Switzerland,Tramelan,16/03/1914,Switzerland,Bern,CH,CH,,,
1902,464,Élie,Ducommun,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",male,1833-02-19,Switzerland,Geneva,07/12/1906,Switzerland,Bern,CH,CH,,,
1902,3,Pieter,Zeeman,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",male,1865-05-25,the Netherlands,Zonnemaire,09/10/1943,the Netherlands,Amsterdam,NL,NL,Amsterdam University,Amsterdam,the Netherlands
1902,294,Ronald,Ross,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",male,1857-05-13,India,Almora,16/09/1932,United Kingdom,Putney Heath,IN,GB,University College,Liverpool,United Kingdom
1902,2,Hendrik A.,Lorentz,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",male,1853-07-18,the Netherlands,Arnhem,04/02/1928,the Netherlands,,NL,NL,Leiden University,Leiden,the Netherlands
1903,5,Pierre,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",male,1859-05-15,France,Paris,19/04/1906,France,Paris,FR,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
1903,466,Randal,Cremer,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",male,1828-03-18,United Kingdom,Fareham,22/07/1908,United Kingdom,London,GB,GB,,,
1903,4,Henri,Becquerel,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",male,1852-12-15,France,Paris,25/08/1908,France,,FR,FR,École Polytechnique,Paris,France
1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",female,1867-11-07,Russian Empire (now Poland),Warsaw,04/07/1934,France,Sallanches,PL,FR,Sorbonne University,Paris,France
1903,295,Niels Ryberg,Finsen,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",male,1860-12-15,Faroe Islands (Denmark),Thorshavn,24/09/1904,Denmark,Copenhagen,DK,DK,Finsen Medical Light Institute,Copenhagen,Denmark
1903,572,Bjørnstjerne,Bjørnson,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",male,1832-12-08,Norway,Kvikne,26/04/1910,France,Paris,NO,FR,,,
1903,162,Svante,Arrhenius,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",male,1859-02-19,Sweden,Vik,02/10/1927,Sweden,Stockholm,SE,SE,Stockholm University,Stockholm,Sweden
1904,574,José,Echegaray,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",male,1832-04-19,Spain,Madrid,04/09/1916,Spain,Madrid,ES,ES,,,
1904,8,Lord,Rayleigh,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",male,1842-11-12,United Kingdom,Langford Grove Maldon Essex,30/06/1919,United Kingdom,,GB,GB,Royal Institution of Great Britain,London,United Kingdom
1904,467,Institute of International Law,,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",org,1873-00-00,,,0000-00-00,,,,,,,
1904,163,Sir William,Ramsay,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",male,1852-10-02,Scotland,Glasgow,23/07/1916,United Kingdom,High Wycombe,GB,GB,University College,London,United Kingdom
1904,296,Ivan,Pavlov,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",male,1849-09-14,Russia,Ryazan,27/02/1936,Russia,Leningrad,RU,RU,Military Medical Academy,St. Petersburg,Russia
1904,573,Frédéric,Mistral,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",male,1830-09-08,France,Maillane,25/03/1914,France,Maillane,FR,FR,,,
1905,164,Adolf,von Baeyer,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",male,1835-10-31,Prussia (now Germany),Berlin,20/08/1917,Germany,Starnberg,DE,DE,Munich University,Munich,Germany
1905,575,Henryk,Sienkiewicz,literature,1,"""because of his outstanding merits as an epic writer""",male,1846-05-05,Poland,Wola Okrzejska,15/11/1916,Switzerland,Vevey,PL,CH,,,
1905,9,Philipp,Lenard,physics,1,"""for his work on cathode rays""",male,1862-06-07,Hungary (now Slovakia),Pressburg (now Bratislava),20/05/1947,Germany,Messelhausen,SK,DE,Kiel University,Kiel,Germany
1905,468,Bertha,von Suttner,peace,1,"""for her audacity to oppose the horrors of war""",female,1843-06-09,Austrian Empire (now Czech Republic),Prague,21/06/1914,Austria,Vienna,CZ,AT,,,
1905,297,Robert,Koch,medicine,1,"""for his investigations and discoveries in relation to tuberculosis""",male,1843-12-11,Germany,Clausthal (now Clausthal-Zellerfeld),27/05/1910,Germany,Baden-Baden,DE,DE,Institute for Infectious Diseases,Berlin,Germany
1906,576,Giosuè,Carducci,literature,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",male,1835-07-27,Tuscany (now Italy),Val di Castello,16/02/1907,Italy,Bologna,IT,IT,,,
1906,470,Theodore,Roosevelt,peace,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",male,1858-10-27,USA,New York NY,06/01/1919,USA,Oyster Bay NY,US,US,,,
1906,10,J.J.,Thomson,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",male,1856-12-18,United Kingdom,Cheetham Hill,30/08/1940,United Kingdom,Cambridge,GB,GB,University of Cambridge,Cambridge,United Kingdom
1906,299,Santiago,Ramón y Cajal,medicine,2,"""in recognition of their work on the structure of the nervous system""",male,1852-05-01,Spain,Petilla de Aragón,17/10/1934,Spain,Madrid,ES,ES,Madrid University,Madrid,Spain
1906,165,Henri,Moissan,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",male,1852-09-28,France,Paris,20/02/1907,France,Paris,FR,FR,Sorbonne University,Paris,France
1906,298,Camillo,Golgi,medicine,2,"""in recognition of their work on the structure of the nervous system""",male,1843-07-07,Italy,Corteno,21/01/1926,Italy,Pavia,IT,IT,Pavia University,Pavia,Italy
1907,300,Alphonse,Laveran,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases""",male,1845-06-18,France,Paris,18/05/1922,France,Paris,FR,FR,Institut Pasteur,Paris,France
1907,166,Eduard,Buchner,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation""",male,1860-05-20,Bavaria (now Germany),Munich,13/08/1917,Romania,Focsani,DE,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany
1907,577,Rudyard,Kipling,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",male,1865-12-30,British India (now India),Bombay (now Mumbai),18/01/1936,United Kingdom,London,IN,GB,,,
1907,472,Louis,Renault,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",male,1843-05-21,France,Autun,08/02/1918,France,Barbizon,FR,FR,Sorbonne University,Paris,France
1907,471,Ernesto Teodoro,Moneta,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",male,1833-09-20,Austrian Empire (now Italy),Milan,10/02/1918,Italy,Milan,IT,IT,,,
1907,11,Albert A.,Michelson,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",male,1852-12-19,Prussia (now Poland),Strelno (now Strzelno),09/05/1931,USA,Pasadena CA,PL,US,University of Chicago,Chicago IL,USA
1908,167,Ernest,Rutherford,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",male,1871-08-30,New Zealand,Nelson,19/10/1937,United Kingdom,Cambridge,NZ,GB,Victoria University,Manchester,United Kingdom
1908,578,Rudolf,Eucken,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",male,1846-01-05,East Friesland (now Germany),Aurich,14/09/1926,Germany,Jena,DE,DE,,,
1908,474,Fredrik,Bajer,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",male,1837-04-21,Denmark,Næstved,22/01/1922,Denmark,Copenhagen,DK,DK,,,
1908,301,Ilya,Mechnikov,medicine,2,"""in recognition of their work on immunity""",male,1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),15/07/1916,France,Paris,UA,FR,Institut Pasteur,Paris,France
1908,302,Paul,Ehrlich,medicine,2,"""in recognition of their work on immunity""",male,1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),20/08/1915,Germany,Bad Homburg vor der Höhe,PL,DE,Goettingen University,Göttingen,Germany
1908,473,Klas Pontus,Arnoldson,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",male,1844-10-27,Sweden,Gothenburg,20/02/1916,Sweden,Stockholm,SE,SE,,,
1908,12,Gabriel,Lippmann,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",male,1845-08-16,Luxembourg,Hollerich,13/07/1921,,,LU,,Sorbonne University,Paris,France
1909,13,Guglielmo,Marconi,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",male,1874-04-25,Italy,Bologna,20/07/1937,Italy,Rome,IT,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom
1909,303,Theodor,Kocher,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",male,1841-08-25,Switzerland,Bern,27/07/1917,Switzerland,Bern,CH,CH,Berne University,Bern,Switzerland
1909,579,Selma,Lagerlöf,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",female,1858-11-20,Sweden,Mårbacka,16/03/1940,Sweden,Mårbacka,SE,SE,,,
1909,168,Wilhelm,Ostwald,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",male,1853-09-02,Russian Empire (now Latvia),Riga,04/04/1932,Germany,Leipzig,LV,DE,Leipzig University,Leipzig,Germany
1909,14,Ferdinand,Braun,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",male,1850-06-06,Hesse-Kassel (now Germany),Fulda,20/04/1918,USA,Brooklyn NY,DE,US,Strasbourg University,Strasbourg,Germany (now France)
1909,475,Auguste,Beernaert,peace,2,"""for their prominent position in the international movement for peace and arbitration""",male,1829-07-26,Belgium,Ostend,06/10/1912,Switzerland,Lucerne,BE,CH,,,
1909,476,Paul Henri,d'Estournelles de Constant,peace,2,"""for their prominent position in the international movement for peace and arbitration""",male,1852-11-22,France,La Flèche,15/05/1924,France,Paris,FR,FR,,,
1910,580,Paul,Heyse,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",male,1830-03-15,Prussia (now Germany),Berlin,02/04/1914,Germany,Munich,DE,DE,,,
1910,477,Permanent International Peace Bureau,,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",org,1891-00-00,,,0000-00-00,,,,,,,
1910,15,Johannes Diderik,van der Waals,physics,1,"""for his work on the equation of state for gases and liquids""",male,1837-11-23,the Netherlands,Leiden,08/03/1923,the Netherlands,Amsterdam,NL,NL,Amsterdam University,Amsterdam,the Netherlands
1910,304,Albrecht,Kossel,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",male,1853-09-16,Mecklenburg (now Germany),Rostock,05/07/1927,Germany,Heidelberg,DE,DE,University of Heidelberg,Heidelberg,Germany
1910,169,Otto,Wallach,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",male,1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),26/02/1931,Germany,Göttingen,RU,DE,Goettingen University,Göttingen,Germany
1911,479,Alfred,Fried,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",male,1864-11-11,Austria,Vienna,04/05/1921,Austria,Vienna,AT,AT,,,
1911,478,Tobias,Asser,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",male,1838-04-28,the Netherlands,Amsterdam,29/07/1913,the Netherlands,the Hague,NL,NL,,,
1911,6,Marie,Curie,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",female,1867-11-07,Russian Empire (now Poland),Warsaw,04/07/1934,France,Sallanches,PL,FR,Sorbonne University,Paris,France
1911,16,Wilhelm,Wien,physics,1,"""for his discoveries regarding the laws governing the radiation of heat""",male,1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),30/08/1928,Germany,Munich,RU,DE,Würzburg University,Würzburg,Germany
1911,581,Maurice,Maeterlinck,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",male,1862-08-29,Belgium,Ghent,06/05/1949,France,Nice,BE,FR,,,
1911,305,Allvar,Gullstrand,medicine,1,"""for his work on the dioptrics of the eye""",male,1862-06-05,Sweden,Landskrona,28/07/1930,Sweden,Stockholm,SE,SE,Uppsala University,Uppsala,Sweden
1912,582,Gerhart,Hauptmann,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",male,1862-11-15,Prussia (now Poland),Bad Salzbrunn,06/06/1946,Germany (now Poland),Agnetendorf (now Jagniatków),PL,PL,,,
1912,306,Alexis,Carrel,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",male,1873-06-28,France,Sainte-Foy-lès-Lyon,05/11/1944,France,Paris,FR,FR,Rockefeller Institute for Medical Research,New York NY,USA
1912,173,Paul,Sabatier,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",male,1854-11-05,France,Carcassonne,14/08/1941,France,Toulouse,FR,FR,Toulouse University,Toulouse,France
